date,title,amount
2025-10-03,Amazon Prime Canais,21.90
2025-09-28,Campeao,30.37
2025-09-27,Amazonprimebr,19.90
2025-09-24,Pagamento recebido,-809.35
2025-09-24,Multa de atraso,16.24
2025-09-24,Juros de dívida encerrada,19.40
2025-09-24,IOF de atraso,3.15
2025-09-24,Encerramento de dívida,-19.40
2025-09-24,Perfumarialurdes - Parcela 1/2,50.93
2025-09-23,Saldo em atraso,809.35
2025-09-23,Crédito de atraso,-809.35
2025-09-23,Supermercado Guanabara,65.28
2025-09-21,Supermercado Guanabara,396.38
2025-09-18,Supermercado Guanabara,66.09
2025-09-17,Amazonprimebr,19.90
2025-09-17,Shopee *Policommerce,28.00
2025-09-17,Rederj,51.63
2025-09-17,54641504renatada,32.98
