date,title,amount
2025-11-10,"Estorno de ""Amazonprimebr""",-19.90
2025-11-10,"Estorno de ""Amazon Prime Canais""",-29.90
2025-11-03,Amazon Prime Canais,29.90
2025-10-27,Rederj,58.20
2025-10-27,Amazonprimebr,19.90
2025-10-25,Campeao,37.19
2025-10-24,IOF de atraso,3.12
2025-10-24,Multa de atraso,16.11
2025-10-24,Pagamento recebido,-802.77
2025-10-23,Saldo em atraso,802.76
2025-10-23,Supermercado Guanabara,46.56
2025-10-19,Campeao,60.84
2025-10-18,Supermercado Guanabara,414.73
2025-10-17,Amazonprimebr,19.90
2025-10-17,Rederj,82.20
2025-10-16,Perfumarialurdes - Parcela 2/2,50.92
