date,title,amount
2025-01-30,Supermercado Guanabara,261.50
2025-01-28,Renegociação de pendências (28/Janeiro),-650.63
2025-01-28,Encerramento de dívida,-54.64
2025-01-28,Multa de atraso,19.08
2025-01-28,Juros de atraso,27.38
2025-01-28,IOF de atraso,8.17
2025-01-24,Rio Bel Cosmeticos,64.70
2025-01-23,Renegociação de pendências (28/Janeiro),226.89
2025-01-23,Pagamento recebido,-300.00
2025-01-22,Supermercado Guanabara,169.97
2025-01-21,Saldo em atraso,950.63
2025-01-21,Rederj,58.01
2025-01-21,Crédito de atraso,-950.63
2025-01-17,Amazonprimebr,19.90
2025-01-17,"Estorno de ""Amazon Prime Canais""",-29.90
