date,title,amount
2025-09-03,Amazon Prime Canais,21.90
2025-08-27,Amazonprimebr,19.90
2025-08-27,Supermercado Guanabara,349.44
2025-08-26,Supermercado Guanabara,21.23
2025-08-25,Peixaria Joeldson,43.00
2025-08-25,Pagamento recebido,-800.37
2025-08-21,Shopee *Oncomercioshop,32.88
2025-08-21,Rederj,110.00
2025-08-19,Shopee *Rosalelingerie,38.99
2025-08-18,Rederj,81.11
2025-08-17,Amazonprimebr,19.90
2025-08-16,"Estorno de ""Amazonprimebr""",-19.90
2025-08-16,Shopee *Chenjyacessori - Parcela 3/3,31.10
2025-08-16,Amazon Prime Canais,39.90
