mes,semana_mes,data,descricao,valor,valor_numerico,dia,mes_fatura
set,4,2025-09-24,Pagamento recebido,-809.35,-80935,24,2025-10
set,4,2025-09-24,Multa de atraso,16.24,1624,24,2025-10
set,4,2025-09-24,Juros de dívida encerrada,19.4,194,24,2025-10
set,4,2025-09-24,IOF de atraso,3.15,315,24,2025-10
set,4,2025-09-24,Encerramento de dívida,-19.4,-194,24,2025-10
set,4,2025-09-24,Perfumarialurdes - Parcela 1/2,50.93,5093,24,2025-10
set,4,2025-09-23,Saldo em atraso,809.35,80935,23,2025-10
set,4,2025-09-23,Crédito de atraso,-809.35,-80935,23,2025-10
set,4,2025-09-23,Supermercado Guanabara,65.28,6528,23,2025-10
set,3,2025-09-21,Supermercado Guanabara,396.38,39638,21,2025-10
set,3,2025-09-18,Supermercado Guanabara,66.09,6609,18,2025-10
set,3,2025-09-17,Amazonprimebr,19.9,199,17,2025-10
set,3,2025-09-17,Shopee *Policommerce,28.0,280,17,2025-10
set,3,2025-09-17,Rederj,51.63,5163,17,2025-10
set,3,2025-09-17,54641504renatada,32.98,3298,17,2025-10
nov,2,2025-11-10,"Estorno de ""Amazonprimebr""",-19.9,-199,10,2025-11
nov,2,2025-11-10,"Estorno de ""Amazon Prime Canais""",-29.9,-299,10,2025-11
nov,1,2025-11-03,Amazon Prime Canais,29.9,299,3,2025-11
out,4,2025-10-27,Rederj,58.2,582,27,2025-11
out,4,2025-10-27,Amazonprimebr,19.9,199,27,2025-11
out,4,2025-10-25,Campeao,37.19,3719,25,2025-11
out,4,2025-10-24,IOF de atraso,3.12,312,24,2025-11
out,4,2025-10-24,Multa de atraso,16.11,1611,24,2025-11
out,4,2025-10-24,Pagamento recebido,-802.77,-80277,24,2025-11
out,4,2025-10-23,Saldo em atraso,802.76,80276,23,2025-11
out,4,2025-10-23,Supermercado Guanabara,46.56,4656,23,2025-11
out,3,2025-10-19,Campeao,60.84,6084,19,2025-11
out,3,2025-10-18,Supermercado Guanabara,414.73,41473,18,2025-11
out,3,2025-10-17,Amazonprimebr,19.9,199,17,2025-11
out,3,2025-10-17,Rederj,82.2,822,17,2025-11
out,3,2025-10-16,Perfumarialurdes - Parcela 2/2,50.92,5092,16,2025-11
nov,4,2025-11-25,IOF de atraso,3.07,307,25,2025-12
nov,4,2025-11-25,Multa de atraso,15.85,1585,25,2025-12
nov,4,2025-11-25,Pagamento recebido,-789.78,-78978,25,2025-12
nov,4,2025-11-24,Saldo em atraso,789.78,78978,24,2025-12
nov,4,2025-11-23,Supermercado Guanabara,518.85,51885,23,2025-12
nov,3,2025-11-20,Rederj,89.51,8951,20,2025-12
nov,3,2025-11-19,Drogaria Droga Xiii,43.96,4396,19,2025-12
nov,3,2025-11-17,Rederj,108.31,10831,17,2025-12
nov,3,2025-11-17,Amazonprimebr,19.9,199,17,2025-12
dez,5,2025-12-31,Supermercado Guanabara,177.04,17704,31,2026-01
dez,4,2025-12-25,54641504renatada,39.94,3994,25,2026-01
dez,4,2025-12-24,IOF de atraso,3.11,311,24,2026-01
dez,4,2025-12-24,Multa de atraso,16.05,1605,24,2026-01
dez,4,2025-12-24,Pagamento recebido,-799.46,-79946,24,2026-01
dez,4,2025-12-23,Saldo em atraso,799.46,79946,23,2026-01
dez,4,2025-12-22,Rederj,42.08,4208,22,2026-01
dez,3,2025-12-21,Meier,39.99,3999,21,2026-01
dez,3,2025-12-20,Supermercado Guanabara,370.91,37091,20,2026-01
dez,3,2025-12-19,Campeao,72.69,7269,19,2026-01
dez,3,2025-12-17,Amazonprimebr,19.9,199,17,2026-01
jan,5,2026-01-29,Supermercado Guanabara,121.26,12126,29,2026-02
jan,4,2026-01-26,Supermercado Guanabara,75.61,7561,26,2026-02
jan,4,2026-01-25,Perfumaria Lurdes,86.05,8605,25,2026-02
jan,4,2026-01-23,Shopee *Rowely,39.58,3958,23,2026-02
jan,4,2026-01-23,Pagamento recebido,-781.72,-78172,23,2026-02
jan,4,2026-01-22,Rederj,115.63,11563,22,2026-02
jan,3,2026-01-17,Amazonprimebr,19.9,199,17,2026-02
jan,3,2026-01-17,Supermercado Guanabara,272.56,27256,17,2026-02
